source	target	interaction_category	ipsae	iptm	contacts_lt_3	contacts_lt_6	interface_plddt	confidence_level
IFT80	WDPCP	Ciliary structural	0.39365253	0.66	undefined	undefined	undefined	Low
IFT56	MAPRE3	Transcription/Chromatin	0.39358568	0.58	undefined	undefined	undefined	Low
BBS4	null	Transcription/Chromatin	0.39258134	0.61	undefined	undefined	undefined	Low
IFT70A	SPESP1	Cytoskeleton	0.3924649	0.52	undefined	undefined	undefined	Low
BBS5	KCTD17	Ciliary structural	0.39116016	0.58	undefined	undefined	undefined	Low
IFT122	AP2B1	Signaling	0.39083967	0.45	undefined	undefined	undefined	Low
TULP3	CFAP20	Ciliary structural	0.3907918	0.74	undefined	undefined	undefined	Low
TULP3	NF2	Signaling	0.39020503	0.51	undefined	undefined	undefined	Low
IFT38	KIFAP3	Ciliary structural	0.3900076	0.49	undefined	undefined	undefined	Low
IFT70A	CFAP36	Ciliary structural	0.3890867	0.61	undefined	undefined	undefined	Low
TULP3	PSMA3	Other	0.3890328	0.69	undefined	undefined	undefined	Low
IFT20	FSD1	Cytoskeleton	0.3887338	0.45	undefined	undefined	undefined	Low
RABL2B	ACTL7A	Ciliary structural	0.38809472	0.57	undefined	undefined	undefined	Low
TULP3	LCA5	Ciliary structural	0.3875795	0.5	undefined	undefined	undefined	Low
IFT52	RACK1	Signaling	0.38714585	0.69	undefined	undefined	undefined	Low
IFT43	PRKACG	Ciliary structural	0.38673952	0.62	undefined	undefined	undefined	Low
IFT70B	CIMIP2A	Ciliary structural	0.38654882	0.53	undefined	undefined	undefined	Low
IFT43	NME7	Ciliary structural	0.38619342	0.56	undefined	undefined	undefined	Low
IFT122	CCP110	Ciliary structural	0.38522705	0.44	undefined	undefined	undefined	Low
IFT54	IFT20	Validation: Intra-complex	0.38520175	0.61	undefined	undefined	undefined	Low
IFT38	PRKAR1A	Ciliary structural	0.38504258	0.55	undefined	undefined	undefined	Low
IFT22	PPP1R7	Other	0.3846583	0.66	undefined	undefined	undefined	Low
RABL2B	FAIM	Signaling	0.38406596	0.59	undefined	undefined	undefined	Low
IFT70B	DYNC2I1	Ciliary structural	0.38348436	0.59	undefined	undefined	undefined	Low
IFT74	IFT81	Validation: Intra-complex	0.38329783	0.32	undefined	undefined	undefined	Low
TULP3	MED26	Transcription/Chromatin	0.38321906	0.51	undefined	undefined	undefined	Low
IFT81	IFT74	Validation: Intra-complex	0.38291755	0.33	undefined	undefined	undefined	Low
TULP3	PIN1	Ciliary structural	0.38178462	0.74	undefined	undefined	undefined	Low
IFT122	NEK8	Ciliary structural	0.381783	0.43	undefined	undefined	undefined	Low
BBS8	ANXA7	Metabolism	0.3809133	0.53	undefined	undefined	undefined	Low
BBS5	RFX7	Transcription/Chromatin	0.38056606	0.67	undefined	undefined	undefined	Low
IFT43	FSD1	Cytoskeleton	0.3799893	0.46	undefined	undefined	undefined	Low
IFT22	PRICKLE2	Other	0.37907928	0.77	undefined	undefined	undefined	Low
IFT56	MAPRE1	Ciliary structural	0.37879494	0.53	undefined	undefined	undefined	Low
BBS8	SPESP1	Cytoskeleton	0.3778332	0.48	undefined	undefined	undefined	Low
IFT56	CAMK4	Transcription/Chromatin	0.3773666	0.56	undefined	undefined	undefined	Low
IFT70B	GALR3	Ciliary structural	0.3773611	0.61	undefined	undefined	undefined	Low
ARL6	NIT1	Metabolism	0.37682664	0.66	undefined	undefined	undefined	Low
IFT22	NFIX	Transcription/Chromatin	0.37656727	0.74	undefined	undefined	undefined	Low
BBS7	SASS6	Other	0.37631884	0.62	undefined	undefined	undefined	Low
IFT27	USH1G	Ciliary structural	0.37624213	0.71	undefined	undefined	undefined	Low
TULP3	TMEM231	Ciliary structural	0.37612996	0.53	undefined	undefined	undefined	Low
IFT43	CCNO	Ciliary structural	0.3756923	0.55	undefined	undefined	undefined	Low
IFT121	HGS	Signaling	0.3756727	0.53	undefined	undefined	undefined	Low
IFT81	IFT22	Validation: Intra-complex	0.37549278	0.75	undefined	undefined	undefined	Low
IFT25	DNAJB6	Transcription/Chromatin	0.37502557	0.73	undefined	undefined	undefined	Low
BBS7	PLK4	Ciliary structural	0.3746741	0.58	undefined	undefined	undefined	Low
IFT70B	TUBGCP6	Cytoskeleton	0.37441346	0.64	undefined	undefined	undefined	Low
IFT56	SPESP1	Cytoskeleton	0.37390724	0.55	undefined	undefined	undefined	Low
TULP3	KATNAL1	Metabolism	0.37359232	0.34	undefined	undefined	undefined	Low
IFT70A	DNAH10	Ciliary structural	0.3734562	0.66	undefined	undefined	undefined	Low
IFT56	ZIC2	Transcription/Chromatin	0.37339675	0.6	undefined	undefined	undefined	Low
IFT46	MAK	Ciliary structural	0.3729014	0.4	undefined	undefined	undefined	Low
IFT27	ACR	Membrane trafficking	0.37239954	0.51	undefined	undefined	undefined	Low
IFT25	SNX9	Signaling	0.37205532	0.77	undefined	undefined	undefined	Low
IFT20	DYDC2	Other	0.37193808	0.44	undefined	undefined	undefined	Low
BBS4	BBS8	Validation: Intra-complex	0.37150618	0.55	undefined	undefined	undefined	Low
IFT56	ACADM	Metabolism	0.3708428	0.52	undefined	undefined	undefined	Low
BBS5	DNAJC8	Other	0.37083596	0.54	undefined	undefined	undefined	Low
BBS5	GNB1	Signaling	0.3706965	0.66	undefined	undefined	undefined	Low
IFT52	LCP1	Signaling	0.37030676	0.54	undefined	undefined	undefined	Low
BBS5	PQBP1	Ciliary structural	0.37012985	0.54	undefined	undefined	undefined	Low
IFT70B	PTGER4	Signaling	0.3686576	0.6	undefined	undefined	undefined	Low
TULP3	GAS2L1	Cytoskeleton	0.36801034	0.33	undefined	undefined	undefined	Low
BBS18	STUB1	Signaling	0.3675729	0.46	undefined	undefined	undefined	Low
IFT56	CALM1	Signaling	0.36731043	0.58	undefined	undefined	undefined	Low
RABL2B	PALB2	Other	0.36626667	0.69	undefined	undefined	undefined	Low
IFT38	PEBP1	Signaling	0.36468548	0.68	undefined	undefined	undefined	Low
IFT56	HYOU1	Metabolism	0.36453542	0.6	undefined	undefined	undefined	Low
RABL2B	TCHP	Ciliary structural	0.3644546	0.65	undefined	undefined	undefined	Low
TULP3	WDR44	Ciliary structural	0.36428595	0.51	undefined	undefined	undefined	Low
IFT56	MED26	Transcription/Chromatin	0.3634431	0.57	undefined	undefined	undefined	Low
IFT74	CALR	Transcription/Chromatin	0.36336923	0.57	undefined	undefined	undefined	Low
TTC21B	EZR	Ciliary structural	0.36315212	0.52	undefined	undefined	undefined	Low
IFT54	BBS9	Mechanistic: IFT-BBSome coupling	0.36278206	0.42	undefined	undefined	undefined	Low
BBS7	PQBP1	Ciliary structural	0.3615034	0.56	undefined	undefined	undefined	Low
TTC21B	HSPA8	Transcription/Chromatin	0.36142102	0.63	undefined	undefined	undefined	Low
IFT25	NUP35	Signaling	0.36059296	0.7	undefined	undefined	undefined	Low
IFT144	DRC3	Ciliary structural	0.36027864	0.55	undefined	undefined	undefined	Low
ARL6	MCRS1	Transcription/Chromatin	0.35996857	0.69	undefined	undefined	undefined	Low
IFT20	GPR88	Ciliary structural	0.35963228	0.49	undefined	undefined	undefined	Low
BBS9	C1orf87	Other	0.35897014	0.42	undefined	undefined	undefined	Low
BBS5	LIMA1	Ciliary structural	0.358746	0.61	undefined	undefined	undefined	Low
IFT43	CFAP298	Ciliary structural	0.35816658	0.53	undefined	undefined	undefined	Low
IFT25	DDX42	RNA processing	0.35773566	0.81	undefined	undefined	undefined	Low
IFT20	ALPK1	Ciliary structural	0.35697094	0.49	undefined	undefined	undefined	Low
IFT54	MOK	Ciliary structural	0.35604703	0.54	undefined	undefined	undefined	Low
IFT43	ZPBP	Signaling	0.35551754	0.45	undefined	undefined	undefined	Low
IFT22	CELSR2	Ciliary structural	0.3551167	0.84	undefined	undefined	undefined	Low
BBS7	ANXA11	Metabolism	0.3548333	0.6	undefined	undefined	undefined	Low
BBS8	BBS4	Validation: Intra-complex	0.3546283	0.55	undefined	undefined	undefined	Low
BBS7	KRT75	Other	0.35451832	0.62	undefined	undefined	undefined	Low
IFT38	RNPEP	Other	0.35447645	0.64	undefined	undefined	undefined	Low
TULP3	TPPP3	Cytoskeleton	0.35405293	0.45	undefined	undefined	undefined	Low
IFT70A	PPP1CA	Transcription/Chromatin	0.3540277	0.67	undefined	undefined	undefined	Low
IFT56	DCDC2	Ciliary structural	0.35381702	0.54	undefined	undefined	undefined	Low
BBS17	ENTR1	Ciliary structural	0.35342428	0.32	undefined	undefined	undefined	Low
BBS18	MPI	Other	0.35335556	0.63	undefined	undefined	undefined	Low
IFT43	GANAB	Metabolism	0.35201633	0.61	undefined	undefined	undefined	Low
IFT172	ACSL3	Signaling	0.3519555	0.67	undefined	undefined	undefined	Low
IFT88	COPA	Membrane trafficking	0.35188633	0.44	undefined	undefined	undefined	Low
RABL2B	COPS8	Signaling	0.35109696	0.59	undefined	undefined	undefined	Low
IFT27	CCDC78	Other	0.35029727	0.7	undefined	undefined	undefined	Low
IFT20	ZBBX	Other	0.35024807	0.62	undefined	undefined	undefined	Low
BBS1	CFAP43	Ciliary structural	0.35002133	0.43	undefined	undefined	undefined	Low
IFT20	KRT8	Cytoskeleton	0.34957036	0.59	undefined	undefined	undefined	Low
TULP3	TP73	Ciliary structural	0.34904733	0.48	undefined	undefined	undefined	Low
IFT56	RAB7A	Signaling	0.3490236	0.52	undefined	undefined	undefined	Low
IFT56	MMP21	Other	0.34819221	0.55	undefined	undefined	undefined	Low
BBS5	RFX2	Ciliary structural	0.34788528	0.61	undefined	undefined	undefined	Low
IFT81	NUMB	Signaling	0.34774804	0.35	undefined	undefined	undefined	Low
ARL6	EIF5A	Transcription/Chromatin	0.34731296	0.63	undefined	undefined	undefined	Low
IFT56	PCM1	Ciliary structural	0.3464959	0.56	undefined	undefined	undefined	Low
IFT80	HNF1B	Transcription/Chromatin	0.34597132	0.63	undefined	undefined	undefined	Low
BBS7	PSMA4	Other	0.345932	0.54	undefined	undefined	undefined	Low
BBS8	XPNPEP3	Metabolism	0.34588563	0.64	undefined	undefined	undefined	Low
TULP3	LTA4H	Metabolism	0.3457803	0.65	undefined	undefined	undefined	Low
IFT43	HSP90AB1	Transcription/Chromatin	0.34551102	0.4	undefined	undefined	undefined	Low
RABL2B	KIF24	Ciliary structural	0.34527364	0.69	undefined	undefined	undefined	Low
BBS18	ACTL7A	Ciliary structural	0.34493053	0.53	undefined	undefined	undefined	Low
IFT74	TCTN2	Ciliary structural	0.3444206	0.45	undefined	undefined	undefined	Low
IFT56	CDC20B	Other	0.34431177	0.52	undefined	undefined	undefined	Low
IFT22	IZUMO4	Other	0.3441477	0.67	undefined	undefined	undefined	Low
IFT122	GMNC	Ciliary structural	0.34369287	0.37	undefined	undefined	undefined	Low
IFT25	LIMA1	Ciliary structural	0.3436054	0.79	undefined	undefined	undefined	Low
IFT25	HDAC6	Ciliary structural	0.34337798	0.8	undefined	undefined	undefined	Low
IFT22	CEP44	Ciliary structural	0.34261602	0.68	undefined	undefined	undefined	Low
RABL2B	NEK1	Ciliary structural	0.34155902	0.69	undefined	undefined	undefined	Low
BBS9	SPAG8	Ciliary structural	0.33967826	0.37	undefined	undefined	undefined	Low
BBS7	GMNC	Ciliary structural	0.33962852	0.62	undefined	undefined	undefined	Low
IFT70A	SPMIP6	Metabolism	0.33925477	0.53	undefined	undefined	undefined	Low
BBS5	PDHX	Metabolism	0.3377193	0.57	undefined	undefined	undefined	Low
IFT140	NSFL1C	Metabolism	0.3374557	0.36	undefined	undefined	undefined	Low
IFT52	MAPKAP1	Ciliary structural	0.3372546	0.49	undefined	undefined	undefined	Low
BBS5	MYLIP	Signaling	0.3366241	0.54	undefined	undefined	undefined	Low
IFT56	H4C1	Transcription/Chromatin	0.33644253	0.57	undefined	undefined	undefined	Low
IFT70B	QARS1	Transcription/Chromatin	0.33461818	0.52	undefined	undefined	undefined	Low
BBS2	TOM1	Signaling	0.33396018	0.56	undefined	undefined	undefined	Low
BBS18	RAB8A	Ciliary structural	0.33349493	0.59	undefined	undefined	undefined	Low
IFT43	PPIA	Transcription/Chromatin	0.33336976	0.69	undefined	undefined	undefined	Low
BBS1	BBS8	Validation: Intra-complex	0.33257517	0.48	undefined	undefined	undefined	Low
IFT122	MTREX	RNA processing	0.3324612	0.58	undefined	undefined	undefined	Low
IFT70B	SPESP1	Cytoskeleton	0.3321165	0.51	undefined	undefined	undefined	Low
BBS8	BBS1	Validation: Intra-complex	0.33186918	0.48	undefined	undefined	undefined	Low
IFT121	NEK1	Ciliary structural	0.3308377	0.47	undefined	undefined	undefined	Low
IFT57	NUP54	Signaling	0.32935044	0.39	undefined	undefined	undefined	Low
IFT57	UBE4B	Other	0.32924402	0.48	undefined	undefined	undefined	Low
BBS7	KRT5	Cytoskeleton	0.32885852	0.61	undefined	undefined	undefined	Low
TULP3	SNAP29	Ciliary structural	0.32861036	0.44	undefined	undefined	undefined	Low
RABL2B	CSNK2B	Transcription/Chromatin	0.32806343	0.56	undefined	undefined	undefined	Low
ARL6	VPS45	Membrane trafficking	0.32798004	0.61	undefined	undefined	undefined	Low
TULP3	NME7	Ciliary structural	0.32791454	0.54	undefined	undefined	undefined	Low
IFT43	DNAJC8	Other	0.3278349	0.52	undefined	undefined	undefined	Low
IFT56	HAP1	Ciliary structural	0.32713798	0.58	undefined	undefined	undefined	Low
BBS5	AKNA	Transcription/Chromatin	0.32705563	0.64	undefined	undefined	undefined	Low
IFT56	RAB14	Signaling	0.326854	0.47	undefined	undefined	undefined	Low
BBS5	ZIC2	Transcription/Chromatin	0.32630768	0.57	undefined	undefined	undefined	Low
TULP3	SSTR3	Ciliary structural	0.32628858	0.47	undefined	undefined	undefined	Low
IFT27	CYLD	Ciliary structural	0.3261729	0.75	undefined	undefined	undefined	Low
IFT74	P4HB	Signaling	0.3254855	0.52	undefined	undefined	undefined	Low
TTC21B	TULP1	Ciliary structural	0.32547483	0.37	undefined	undefined	undefined	Low
TULP3	CCNO	Ciliary structural	0.32508162	0.52	undefined	undefined	undefined	Low
IFT88	BAZ2B	Transcription/Chromatin	0.32451236	0.46	undefined	undefined	undefined	Low
IFT121	CDKL5	Ciliary structural	0.32434896	0.52	undefined	undefined	undefined	Low
IFT70A	C7orf57	Other	0.32356545	0.51	undefined	undefined	undefined	Low
BBS5	LRGUK	Ciliary structural	0.3235105	0.39	undefined	undefined	undefined	Low
IFT43	DNAI3	Ciliary structural	0.32311347	0.42	undefined	undefined	undefined	Low
BBS5	NEK1	Ciliary structural	0.32309538	0.6	undefined	undefined	undefined	Low
TULP3	DCP1A	RNA processing	0.32284647	0.4	undefined	undefined	undefined	Low
IFT38	CSNK2B	Transcription/Chromatin	0.32233924	0.63	undefined	undefined	undefined	Low
TULP3	TLK2	Transcription/Chromatin	0.3219964	0.48	undefined	undefined	undefined	Low
IFT56	ARPC2	Cytoskeleton	0.32196942	0.52	undefined	undefined	undefined	Low
IFT54	AIPL1	Signaling	0.32133543	0.45	undefined	undefined	undefined	Low
BBS7	MLF2	Transcription/Chromatin	0.32101032	0.52	undefined	undefined	undefined	Low
TULP3	KRT1	Signaling	0.32098642	0.47	undefined	undefined	undefined	Low
TULP3	PTPN11	Signaling	0.32082668	0.56	undefined	undefined	undefined	Low
IFT121	UBXN10	Ciliary structural	0.32040766	0.44	undefined	undefined	undefined	Low
IFT88	TTLL1	Ciliary structural	0.3200544	0.63	undefined	undefined	undefined	Low
IFT56	TTBK2	Ciliary structural	0.32004777	0.61	undefined	undefined	undefined	Low
BBS7	GPR161	Ciliary structural	0.31950507	0.57	undefined	undefined	undefined	Low
RABL2B	IFT56	Validation: Intra-complex	0.31883588	0.47	undefined	undefined	undefined	Low
BBS7	KRT6A	Cytoskeleton	0.31856185	0.6	undefined	undefined	undefined	Low
BBS4	DBR1	RNA processing	0.31837258	0.51	undefined	undefined	undefined	Low
TULP3	CNGA4	Ciliary structural	0.31830907	0.48	undefined	undefined	undefined	Low
IFT121	DDX42	RNA processing	0.31823477	0.46	undefined	undefined	undefined	Low
BBS4	CIMIP2C	Cytoskeleton	0.31818807	0.49	undefined	undefined	undefined	Low
BBS5	IGF1	Transcription/Chromatin	0.31806207	0.53	undefined	undefined	undefined	Low
BBS2	BBS8	Validation: Intra-complex	0.31757903	0.6	undefined	undefined	undefined	Low
TULP3	ACAD10	Metabolism	0.31739715	0.47	undefined	undefined	undefined	Low
TULP3	PTEN	Transcription/Chromatin	0.3173465	0.61	undefined	undefined	undefined	Low
IFT70B	CCDC181	Cytoskeleton	0.31574276	0.51	undefined	undefined	undefined	Low
IFT20	AKNA	Transcription/Chromatin	0.3149338	0.7	undefined	undefined	undefined	Low
BBS7	AIFM1	Signaling	0.31437027	0.59	undefined	undefined	undefined	Low
IFT140	MACF1	Cytoskeleton	0.31421897	0.34	undefined	undefined	undefined	Low
IFT22	RFX7	Transcription/Chromatin	0.31391227	0.78	undefined	undefined	undefined	Low
BBS5	PRDX3	Transcription/Chromatin	0.31355488	0.52	undefined	undefined	undefined	Low
BBS1	IFT38	Ciliary structural	0.3135194	0.25	undefined	undefined	undefined	Low
BBS7	EPB41	Cytoskeleton	0.3134763	0.64	undefined	undefined	undefined	Low
IFT70B	SPMIP6	Metabolism	0.31317905	0.52	undefined	undefined	undefined	Low
BBS5	SENP3	Other	0.3126707	0.58	undefined	undefined	undefined	Low
BBS2	EZH2	Transcription/Chromatin	0.31250134	0.57	undefined	undefined	undefined	Low
BBS9	DNAAF2	Ciliary structural	0.31236586	0.41	undefined	undefined	undefined	Low
IFT43	TUBA8	Cytoskeleton	0.31180626	0.59	undefined	undefined	undefined	Low
TULP3	KRT5	Cytoskeleton	0.3117809	0.51	undefined	undefined	undefined	Low
IFT80	INVS	Ciliary structural	0.31146342	0.59	undefined	undefined	undefined	Low
ARL6	UBAP1	Membrane trafficking	0.3111901	0.68	undefined	undefined	undefined	Low
BBS4	SPAG17	Ciliary structural	0.3107127	0.52	undefined	undefined	undefined	Low
BBS1	NCL	Transcription/Chromatin	0.30994758	0.52	undefined	undefined	undefined	Low
IFT22	CDK13	Transcription/Chromatin	0.3092671	0.77	undefined	undefined	undefined	Low
TULP3	NUP93	Signaling	0.3088648	0.46	undefined	undefined	undefined	Low
BBS5	HNRNPK	Transcription/Chromatin	0.30864927	0.56	undefined	undefined	undefined	Low
BBS5	HYLS1	Ciliary structural	0.3085819	0.51	undefined	undefined	undefined	Low
IFT74	IFT22	Validation: Intra-complex	0.30857623	0.68	undefined	undefined	undefined	Low
ARL6	ARL2BP	Ciliary structural	0.3082537	0.56	undefined	undefined	undefined	Low
IFT57	IFT140	Validation: IFT-A/B coupling	0.30780673	0.4	undefined	undefined	undefined	Low
IFT25	BAG6	Transcription/Chromatin	0.30764213	0.79	undefined	undefined	undefined	Low
IFT52	EGFR	Ciliary structural	0.3076044	0.53	undefined	undefined	undefined	Low
IFT38	TUBB6	Cytoskeleton	0.30711362	0.61	undefined	undefined	undefined	Low
IFT20	CYLC2	Cytoskeleton	0.30681902	0.54	undefined	undefined	undefined	Low
TULP3	MOK	Ciliary structural	0.30516812	0.52	undefined	undefined	undefined	Low
IFT22	MED26	Transcription/Chromatin	0.30474123	0.7	undefined	undefined	undefined	Low
IFT43	PPP2R3C	Ciliary structural	0.30460078	0.52	undefined	undefined	undefined	Low
IFT46	NR1H4	Transcription/Chromatin	0.30372584	0.37	undefined	undefined	undefined	Low
BBS8	SPMIP6	Metabolism	0.30321583	0.5	undefined	undefined	undefined	Low
IFT43	TUB	Ciliary structural	0.30260053	0.39	undefined	undefined	undefined	Low
IFT25	C7orf57	Other	0.30149347	0.68	undefined	undefined	undefined	Low
IFT57	AP2A2	Signaling	0.30131394	0.39	undefined	undefined	undefined	Low
IFT70A	UBXN10	Ciliary structural	0.30098024	0.49	undefined	undefined	undefined	Low
BBS5	DBR1	RNA processing	0.3002203	0.55	undefined	undefined	undefined	Low
IFT46	GLI1	Ciliary structural	0.30009475	0.42	undefined	undefined	undefined	Low
